file_name,field_name,description,example_value
treatment_outcomes.csv,service_cost_inr,Completed treatment financial and outcome records,161988
treatment_outcomes.csv,gross_margin_inr,Completed treatment financial and outcome records,108541
treatment_outcomes.csv,readmission_within_30d,Completed treatment financial and outcome records,0
treatment_outcomes.csv,follow_up_rating,Completed treatment financial and outcome records,10
country_reference.csv,country,Reference table for markets and operational assumptions,India
country_reference.csv,region,Reference table for markets and operational assumptions,Middle East
country_reference.csv,avg_travel_lead_time_days,Reference table for markets and operational assumptions,36
country_reference.csv,requires_medical_visa,Reference table for markets and operational assumptions,Yes
country_reference.csv,currency,Reference table for markets and operational assumptions,AED
country_reference.csv,baseline_response_expectation_hours,Reference table for markets and operational assumptions,8
country_reference.csv,market_priority_score,Reference table for markets and operational assumptions,81
